Alias,ID,Games,rating,highestrating
GL.Hera,199325,5772,2800,3045
TAG+AF8-MbL+AF8-,251265,8371,2871,2955
Hearttt,582058,4948,2785,2940
wR.Sebastian,2783660,3420,2679,2915
GL.TheViper,196240,2428,2737,2911
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-Yo,197964,3975,2730,2903
wR.ACCM +AHw-AOEbuilds.com,347269,4087,2823,2892
wR.Nicov,208393,2877,2815,2885
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//0-,10710012,904,2678,2848
+AF8-Barles+AF8-,666976,3708,2789,2841
TAG+AF8-Sitaux,212721,2259,2638,2838
wR.Lucho,9423131,6277,2759,2820
Oni.Lewis,8793414,6700,2653,2817
TAG+AF8-Sora Kuma,209118,2337,2744,2807
Villese,208611,3598,2554,2807
SalzZ+AF8-Vinchester,271202,2283,2712,2803
Oni.FreakinAndy,1531083,3838,2590,2792
+AF8-LY+AF8-Daniel,265517,3872,2618,2775
GL.DauT,198035,3122,2373,2752
Dark+AF8-aoe,1407942,3763,2531,2751
SalzZ+AF8-classicpro,1754629,2781,2697,2744
wR.Capoch,409748,2618,2684,2744
TAG+AF8-Mihai06,288714,5424,2615,2738
Oni.dogao,199170,2563,2633,2734
Th+//3//Q-nh C+//3//f/9- Qu+//3//f/9-ng Tr+//3//f/9-,2660491,5395,2497,2734
BSL +AHw- Dragonstar,182749,3221,2727,2727
wR.Prisma,3176045,6060,2606,2715
mYi.Ciskhan,1136191,3574,2625,2706
+//3//f/9//3//f/9//3//f/9//3//f/9-,243287,6542,2499,2704
+//3//f/9//3//f/9-,2972505,3277,2508,2699
StonePleaseAoE,339835,6507,2591,2697
Oni.Kingstone,2776293,3742,2627,2696
Oni.doguinho,6097615,366,2560,2692
Babaorum,576919,5189,2517,2690
Oni.JorDan+AF8-AoE,2858362,2316,2572,2688
NOC +AHw- Running,256338,3920,2512,2687
wR.Nagash,2667231,2326,2339,2683
Overtaken,4632681,4756,2619,2678
Valas,628503,2688,2598,2677
KASVA,1224481,8217,2614,2675
TAG+AF8-Z40,726223,5087,2475,2674
SalzZ+AF8-AntagonisT,2589331,1977,2568,2660
Oni.F1Re,196310,6146,2512,2658
Dennis+//3//f/9-,2912198,5928,2419,2652
OS +AHw- chart,217905,2703,2587,2648
ANKR.Youpudding,11364437,1400,2517,2647
+AF8-LY+AF8-lyx,226575,2913,2485,2645
mYi.slam,614315,4157,2552,2636
DS+AF8-Ozone,2654577,14831,2383,2636
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,211351,2742,2629,2629
SalzZ+AF8-wide,3747802,5511,2566,2629
BSL +AHw- Dr.Kozmonot,3446882,2301,2447,2621
DracKeN,357795,10430,2479,2611
Virtus +AHw- Sobek,290617,2322,2455,2611
+AFs-RUS+AC0-F+AF0-Good+AF8-Game,1165138,9218,2475,2600
deaKer,3022245,7132,2373,2593
Blackheart,6440047,3699,2436,2590
NOC +AHw- Mati,230475,8383,2490,2586
Virtus +AHw- Whitecourt,3101322,1705,2379,2586
saymyname,419803,3886,2297,2578
TAG+AF8-Rayz,15214143,1249,2361,2577
DS+AF8-Halphas,2621722,2727,2537,2576
DS+AF8-Uzzi,21627109,1018,2495,2574
bruh,2135484,4259,2318,2571
Margougou,579679,2341,2478,2570
Fish,2821727,2966,2214,2566
Gabi,2444511,4849,2398,2563
MING,1966276,2395,2509,2561
ANKR.Blve,16847348,1187,2531,2560
MING,3144451,1379,2476,2560
NOC +AHw- Target331,245811,1640,2397,2559
DaddySt4rk,3884287,2553,2354,2554
NOC +AHw- Terz,573282,2720,2450,2549
RedPhosphoru,10266593,6308,2380,2549
JUBILINDO,14500794,266,2335,2549
Blve,19124429,1298,2467,2548
Oni.GoKu,1893397,1078,2427,2545
Fs.miguel,2090225,2726,2428,2541
AiM +AHw- Whocl,2309468,4115,2416,2540
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,716717,2480,2475,2537
wR.Monoz,2844691,5393,2288,2537
BSL +AHw- DOOMSTER :D,1835774,2709,2381,2536
DuDuZhu,6251969,5177,2277,2532
ThunderboltX,3169100,9741,2387,2524
OS +AHw- Sziky,14725904,7582,2321,2514
Dooidy,2594552,2584,2291,2510
wR.Monoz,17331610,1035,2327,2508
Aizen+AF8AXw-,2598137,817,2178,2508
MING,10336997,672,2406,2507
JackK,452924,3162,2358,2507
RoR +AHw- Vodka+AF8-L+AF8-,599689,1841,2354,2504
wR.Fedex,239238,1191,2399,2503
DS+AF8-LobodeLaNieve,2920057,1441,2373,2502
OS +AHw- NeoZz,19867271,385,2419,2501
OS +AHw- Emil :D,862991,8172,2267,2496
+//3//f/9//3//f/9-,10507607,1579,2492,2492
+AF8-Tomate,77944,5535,2438,2492
mentalist+AF8-,9579739,1762,2267,2490
DS+AF8-LobodeLaNieve,3317764,1488,2481,2489
Andre+AF8-2i,635884,13886,2348,2488
HOANG,459658,11474,2287,2482
l3ss,9087865,478,2480,2480
Survivalist,247224,13070,2398,2480
+AF8-Hallis,250103,3613,2343,2477
Margougou,15892085,105,2455,2476
GKT+AF8-Cloud,199419,4273,2232,2470
Mullisaukko,1885671,2681,2306,2469
Darknoob,458029,8283,2110,2463
Cyclops,907464,2220,2377,2462
TAG+AF8-Rayz,11457005,2058,2450,2461
Nili+AF8-AoE,197751,2901,2143,2460
21,10309103,3739,2290,2459
Ghulamo,5188554,2565,2283,2456
mordicchiotto,2532568,5323,2353,2455
m0re,279036,4684,2434,2454
Nahue05,2826785,4312,2287,2453
DK +AHw- Kongen+AF8-42,725502,6964,2197,2449
White Knight,18317143,791,2416,2446
Nezzar,2274841,2308,2297,2446
DS+AF8-Biry,4358030,445,2432,2442
C ,16550341,1605,2416,2440
GLX+AF8-Rusher,788320,6662,2272,2437
c.salette,1920807,6763,2196,2434
CxxxxTo,21914183,571,2433,2433
Belisarius,22614653,158,2419,2432
DK +AHw- Good+AF8-luck,689666,2979,2280,2430
Socksyy,949573,1970,2267,2429
Gordin Hood,6779041,3272,2365,2428
ZoD+AF8-MuMMy,19216875,598,2265,2428
DS+AF8-Combitooo,5984120,2934,2412,2420
RoR +AHw- Rise,210388,3415,2306,2419
+AF8-TieuQuy,2593750,5155,2298,2417
HD+AF8-Mauricioae13,9449579,1524,2271,2417
DS+AF8-Levi,2821779,4034,2227,2417
Noszombie,322534,5416,2270,2415
Fs.Alive,1629889,4550,2239,2411
T90Official,197930,4123,2296,2410
emalius2,516841,2511,2239,2406
Dr. Willy+ACEAIQAh-,21733994,996,2228,2405
Rodrixs,11440407,2395,2313,2402
DS+AF8-VarVa,4129359,3398,2400,2400
OS +AHw- Wade77,4933932,2546,2331,2394
Falcao,1829213,2031,2202,2392
Smokey,1945281,734,2089,2391
sueta,5251192,1560,2146,2389
TheAntman,339191,1880,2234,2386
JonSlow,208269,8598,2230,2386
Paracetamol,6040432,913,2341,2385
MrPlanner,4362836,1631,2298,2385
chaos+AF8-2+AF8-win,4012008,2776,2224,2384
Draconian,622641,2617,2034,2383
Ulaykab,22305591,135,2377,2381
kei,1762409,4991,2176,2379
Chelo,2294850,4541,1968,2376
OS +AHw- shiXo.+ACM-,1137086,10787,2284,2371
Stevenash+AF8-,15174925,1080,2086,2371
Light Cav OP,178430,7105,2196,2369
Argh,2274072,3824,2156,2367
LE +AHw- Dimo,3216208,2646,2255,2365
RmcooTheHater+AF8-,541127,3317,1983,2363
HD+AF8-Mauricioae13,19831974,1463,2263,2361
Ny4,2429762,2539,2131,2357
The Illusionist,1389164,3601,2085,2353
keenov,4105424,2654,2105,2352
+AFs-LW+AF0- Faneth,2482098,1745,2318,2349
Carbo,2171446,5084,2240,2349
Dobbs351,246423,5916,2169,2348
Steak,230432,2353,2299,2347
ParacetamoL,22608180,95,2276,2347
Eli,268051,2656,2205,2346
Ezio,281038,4891,2026,2346
dave+AF8-hun,260231,3989,2108,2342
DS+AF8-VarVarus,309572,2811,2287,2338
Scotty,301918,3215,2210,2336
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//0-,215442,1429,2302,2335
OS +AHw- Blade,3402362,696,2201,2335
NOC +AHw- komtan,223206,3135,2157,2334
MrOsoVC8,1485562,2688,2235,2332
dog,232376,7969,2219,2331
wisenatic,616906,11409,2124,2331
+AF8-LHD+AF8-xiaohai,3044106,7935,2106,2328
Aldeana Hot,19543526,351,2306,2326
Dziamdziak,879956,2577,2110,2325
Chavah,14669191,1374,2270,2324
Mr.Bean,1200049,2599,2146,2323
Solara,1959055,3166,2196,2322
+AFs-o.p.+AF0-King+AF8-Marv,1787077,5180,2208,2320
DS+AF8-Carbo+AF8AXw-,618731,5803,2208,2318
Virtus +AHw- AboKeiTo,4859950,1832,2195,2318
tushen,599657,1504,2116,2318
HGB,4412109,2908,2087,2317
HD+AF8-Marckoss91,2052235,633,2316,2316
+AFs-bK+AF0- PG9,658565,3259,2268,2315
OS +AHw- Blade,1177662,1901,2129,2314
RoR +AHw- thofou05,2859256,1050,2313,2313
Kaneki,11209546,1866,2296,2313
doggggggggggggg,22006943,175,2301,2312
Leonidas,1210686,7665,2186,2311
Virtus +AHw- ChrisB,5257573,2329,2143,2310
Imfury+AF8-,4221810,2136,2141,2310
RoR +AHw- Lighty,738035,6523,2136,2310
+//3//f/9//3//f/9//3//f/9//3//f/9-,2411454,851,2207,2309
YT Jian Hei+//3//f/9//3//f/9//3//f/9-,15507280,970,2306,2308
R4v3N+AF8-,7684383,758,2053,2308
RD +AHw- Kiko,1516024,6930,2278,2305
Spaden,248441,983,2225,2305
OS +AHw- Blade,994370,1865,2299,2304
Skull,369536,4462,2203,2304
NOC +AHw- Wean Dinchester,300565,1101,2237,2303
Spiderman,5424138,2146,2007,2302
+AFs-GT+AF0-YellowJacket,301822,9476,2224,2301
Age of Palissades,2736083,1433,2193,2301
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,3193084,2801,2041,2300
Yoshino+AF8-Somei,2148675,720,2153,2299
VEN+//3//Q-N +AHw- SiNisTeR,2598146,821,2245,2298
RoR +AHw- Thofou2005,18803434,361,2253,2295
Mr Greed,738249,4093,2134,2294
CC,446371,428,2250,2289
GGOut,2897756,2332,2149,2287
VN+AF8-DarK+AF8-KnighT+AF8-,757886,1447,2174,2285
+//3//f/9//3//f/9//3//f/9-,5376904,1377,1906,2283
+//3//f/9//3//f/9-,5902182,1960,2148,2282
+//3//f/9//3//f/9-,1821855,8358,2091,2281
ChrisB,2707922,2279,2194,2280
road to 2k2,22832140,500,2250,2279
XEVER +AHw- Tatengue+AF8-,1361923,2863,2165,2279
+AFs-MELO+AF0- hoi,2280616,1224,2040,2279
L+AF8-Clan+AF8-Cabron,580573,6027,2049,2274
Matze,21918692,768,2081,2271
SHU Manji,23053479,166,2245,2270
DanMT,267857,5653,2161,2270
Inc,221997,3671,2145,2270
Delta65,216183,3563,2116,2270
Torpedo,10809274,1306,2055,2267
Emu Warrior,3970269,1307,2250,2264
pepe tapia,6191779,923,2200,2264
DemonSheep,226697,2255,2212,2263
ANKR.DAI,9750845,1540,2219,2261
DarK +AHw- Benanji,2463959,1051,2143,2261
Shyiba,5030234,335,2252,2260
adduOP,5854345,2774,2248,2260
21pilots,22272478,338,2177,2260
DS+AF8-Nacho+AF8-10,1749894,1748,2215,2259
BoyWonder+AF8-,4240317,3222,2028,2259
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,2203765,10558,1964,2254
AceRx,754845,2845,2221,2253
+AFs-o.p.+AF0-Oliver+AF8-Khan,262710,4853,2140,2253
DS+AF8-NachoAoE,4971,2079,2240,2252
LE +AHw- +//3//f/9-,3020814,674,2136,2252
Taeyoon,1691357,705,2155,2251
Roxola1285,13144794,729,2234,2250
LE +AHw- WilliamS,9558892,5070,2216,2250
+AFs-LW+AF0- Faneth,4933344,502,2180,2250
XEVER +AHw- iDabs,4477199,1735,1899,2249
YT Jian Hei+//3//f/9//3//f/9-,15507566,1346,2246,2248
URU ALBO,583716,4316,2238,2248
+AFv//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0AXQ-YT Jian Hei,22249146,485,2241,2247
saps+AF8-,1550842,5448,2047,2246
DS+AF8-Gali,5232543,3679,2217,2244
Shyiba,2521572,1356,2120,2242
m,2902159,1351,2201,2240
GodsPrisoner,2420511,4487,2088,2240
a,3996006,4253,2066,2240
FelixAldi,234400,6934,1964,2237
Ravioles de Espinaca,3055068,3187,2078,2235
develement,2161095,388,2234,2234
Speed,7988955,2056,2195,2233
+//3//f/9//3//f/9//3//f/9//3//f/9-,1788064,3318,1987,2233
The Arabia King,4096889,540,2179,2232
Sir+AF8-Hellequinn,605947,2929,2056,2231
RoR +AHw- Kamigawa,213355,379,2038,2230
The+AF8-Zaid,3072788,1562,2036,2230
Mariann,4502670,3790,2007,2230
xana,5772003,538,2120,2229
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,8864570,883,2098,2229
In Crust We Trust,6301465,920,2078,2229
OS +AHw- Tiggerr,1995414,8126,2148,2228
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,20566459,987,2124,2228
ilovebaskets,1292487,3743,2091,2227
JOHA,5112522,1844,2173,2226
Moneimon,249653,2986,2214,2225
DS+AF8-Aveee,15474385,815,2083,2223
Ananke,20934004,2037,2027,2223
TRMA +AHw- The+AF8-Beatleman,5860039,1706,2222,2222
M4Te,1016523,1194,2205,2222
JonnyOhneH,8447899,1601,2081,2221
URU +AHw- KING RICO,4410907,1509,2118,2219
CourageShan,14191480,476,2181,2217
William DG+AF8-2003,10795310,2719,2149,2217
triiitCH2,8074820,1930,2063,2217
Timbrhoggvandi,475826,4062,2005,2217
AceRx,3302487,1289,2176,2215
NuMa +AHw- AngelR,6838238,2377,2149,2214
XEVER +AHw- Eskabe,880057,1976,2039,2214
Zuccolo,3135672,2092,1926,2214
NuMa +AHw- AngelR2,15293475,1091,2212,2212
VNS+AF8-DepTraiVoDoi,6921400,593,2161,2212
eightspy,2225051,3460,2041,2212
DS+AF8-NicoDA,5936228,3983,1982,2212
TUT,331084,7079,2144,2211
MooN +AHw- Mexican Emo,2295504,2397,2034,2211
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,2272449,2888,2210,2210
Eye of the Storm,6316201,797,2210,2210
Westbrook,209753,1765,2031,2210
APZz+AF8-,4902114,3234,2208,2208
CN+AF8-Dauh,1782455,7985,1964,2208
AAOE +AHw- Redlash,2771618,1027,2114,2207
XEVER +AHw- TiNTiN,3202499,2211,2048,2207
2001shawties,7964046,192,2171,2206
Locuss,15506619,1484,2124,2206
ubetni,11424865,159,2100,2206
Uzikoti l'+//3//Q-th+//3//Q-r+//3//Q-,1143826,1531,1991,2206
Edgar Davids,2266228,3045,1915,2205
Z4Ge,2388046,1313,2204,2204
AOKI+AF8-Thanouille,673427,3514,1961,2203
tomyam,2646845,5066,2104,2202
lamboghini,2328947,3333,2095,2201
NewJeans+AF8-MINJI,5648936,680,2042,2201
TiNTiN,10812444,1506,2200,2200
+//3//f/9//3//f/9//3//f/9-,19657014,1143,2115,2200
Zionic,3025516,3943,1921,2195
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9- +//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,20533687,908,2115,2194
+//3//f/9//3//f/9//3//f/9//3//f/9-,18857401,864,2107,2194
PlaYBoY,959109,2032,1975,2194
+AFs-GLD+AF0- Abu abdullah,5839022,1194,2153,2193
Whoosher9355,208314,184,2142,2192
TAG+AF8-A88,12091,360,2057,2192
TheKroks,1038375,2399,2174,2191
+AFs-R1+AF0- Pume,1554380,563,2128,2191
Only Arabia i dodge ather map,10711672,900,2108,2191
OS +AHw- TheKroks,22385453,159,2189,2189
Lukas+AF8-AoE,5271588,3874,2021,2189
Humzacrumza,1263509,2139,1800,2189
Vazikli Koykoda,4298438,1376,2137,2188
Meh,6000037,279,2186,2187
OS +AHw- RaiD+AF8-,2009315,1417,2124,2187
Sirenoman+ACE-,1326441,7223,2050,2187
twitch.tv/RaiDAoE,3173869,1778,2158,2186
+AFs-JA+AF0-Xerxes,375935,10046,2055,2185
The Singularity,273680,2436,2117,2184
+//3//f/9//3//f/9//3//f/9//3//f/9-,679922,1022,2054,2184
Favre4ever,332865,3044,2147,2183
ipchwintown,5279457,3528,2045,2183
Rgeadn,234997,306,1861,2183
Kaeften,5091998,906,2123,2182
RVN+AF8-XXYY,1821492,777,2164,2180
King+AC0-oldFa,5725572,4497,2035,2180
+//3//f/9//3//f/9//3//f/9//3//f/9-,20047326,854,2113,2179
halo,373637,216,2178,2178
MrTempo,633255,4905,1953,2177
Shulk,289473,3314,1973,2176
bling,4943664,666,2174,2174
AOKI+AF8-Nyusika,1853539,2992,2151,2174
LeHoang,3386065,531,2107,2174
buddybadi,8335776,972,2081,2174
FullHoli,3244108,2612,1994,2174
guepe,16493067,111,2071,2172
+//3//f/9//3//f/9-,22470739,60,2120,2171
no easy way,1955552,2513,2101,2170
Resilience,2347189,970,2127,2168
Arminius.,3313294,2154,2105,2168
Legion64,733435,4341,2137,2166
Morto,2368367,1684,1970,2165
Mastyjames,277618,617,2059,2164
squashy5000,2194634,3218,2032,2164
Lucky,21098234,749,2026,2163
Clearlove,7240746,2261,2162,2162
mouri,884134,3880,2113,2161
+//3//f/9//3//f/9//3//f/9//3//f/9-,1076546,807,2044,2161
m4rco,1512532,7975,2009,2161
Fs.Jubileu,284552,2044,2086,2160
Drew Peacock,1468794,1922,2003,2160
jsemosoom,2388792,5517,1903,2159
Lost Soul in the Unmarked Grave,9767283,348,2106,2158
RoR +AHw- Loris,1700004,1851,2098,2157
SalzZ+AF8-WaRRioR,1626982,2334,1995,2157
SOLDAT,4795863,160,2156,2156
Shahar18,937162,3100,2111,2155
Orcus,545342,1361,2103,2155
+AFs-GDL+AF0- BUTTMAN+//3//f/9//0-,295437,7607,2051,2153
Tulendeena,952733,900,2000,2152
Locke,382118,708,1992,2152
Mymy,17266239,2010,1965,2152
squashy+AF8-aoe,11441215,402,2151,2151
Togawa Sakiko,1449222,508,2068,2149
Capout,1867124,1894,2051,2149
zankoku sekai no akuma,4625368,2574,2040,2148
Offico,1404537,9013,1967,2148
Alsabakalmobtadey,10844303,874,1907,2148
OS +AHw- VoNDutcH,3942539,590,2146,2146
Virtus +AHw- Pinkman,2061131,2135,2110,2145
KASBIAN,2524736,3958,2048,2145
Valle,2800609,975,2010,2145
noob12,396886,1731,1917,2145
Numerodetelephone,21857013,1038,1881,2144
Scogo,900950,914,2067,2143
G+AC0-Dragon,438920,563,2085,2142
mongo,10833211,1641,2041,2142
Judy The Merciless,3548563,349,2075,2141
EMPEROR VASILIY ALIBABAEVICH,4519871,6168,2025,2140
+//3//f/9//3//f/9//3//f/9-,337428,249,2070,2138
DGHIR +AHw- chanchilaru,557273,5192,2027,2137
Imperio+AF8-cc,399375,334,2034,2136
VN+AF8-KoNFeR,1693166,975,2012,2136
BSL +AHw- Gravity,913609,3185,1741,2136
Dare,6762500,91,2135,2135
Meandor,245436,2076,2096,2134
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,15349651,927,1925,2134
Sphrexo,4627285,1848,2068,2133
+AFs-bK+AF0-martinhs+AF8-,553584,1215,1991,2133
Poxo,212135,1881,2132,2132
SS+AF8-Old,221879,1970,2058,2132
Rorschach (MB),4422117,744,2102,2131
nono12,2845695,525,1930,2131
o35.PuLsE,499661,1964,2016,2130
e1sTea,1493851,1525,1925,2130
TomS,403270,839,2129,2129
Breakfast,4851630,3558,1980,2129
Fool of a Took,249919,6342,1844,2129
DS+AF8-IamAlextremo,1708286,754,1895,2128
mYi.Feige,18610294,149,2042,2126
SHell +AHw- forvin,483354,1020,1915,2126
Mizhu,1080448,1836,1840,2126
Fs.FASTURTLE,2861438,798,2125,2125
CR +AHw- John III,1206581,1683,2001,2125
Bang Dream+AC0-Soyo,589368,10449,1961,2125
Aristocats,267669,5989,1933,2125
Dantes Diantres,19583544,155,2011,2124
+AF8AXwBfAF8AXwBf//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,1627966,1590,2008,2124
mitrokhin,5333450,3460,1988,2124
MelkorAJ,1476288,4984,2056,2122
Toady,270589,1418,1981,2122
Kukuro,28853,2549,1954,2122
MrDoDo,348279,3753,2063,2121
+AFs-R1+AF0- PoXoLo,340055,593,2060,2121
Matsz9334,21746830,1116,2019,2119
LE +AHw- Sagasti,20858058,187,2001,2119
Semuel,651062,2329,1984,2119
Pepe el frutero,2599393,1218,1950,2119
LE +AHw- J+//3//Q-germeister,8917704,1726,1976,2118
+//3//f/9//3//f/9//3//f/9//3//f/9-,14547856,6395,1823,2118
c3mbrich,96571,1466,2087,2117
John II,5205268,950,1984,2116
+//3//f/9//3//f/9//3//f/9//3//f/9-,9958595,8969,1929,2116
shoRkis,13353777,934,1869,2116
A0+AF8-oA,2573480,817,2069,2115
TaoPaiPai,2614814,2351,2037,2115
OS +AHw- NecksZy,2709266,2753,2033,2115
+AFs-bK+AF0AXw-Faraday,1021651,1451,2008,2115
Jebin David,1347417,6053,1873,2115
ReyO,429847,2810,2114,2114
+AFs-R1+AF0- Duke PE+//3//Q-AROL Thompson,233173,2036,2067,2114
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,15097184,329,2032,2113
Ceeelebrate,2495375,5313,1966,2113
Sapfiros,16369027,2531,1927,2113
Belisarius,6249147,60,2065,2112
Krveml+//3//Q-k,21217913,670,1907,2112
DS+AF8-Borridee,2516032,2049,1647,2112
Fs.Bila,1175237,784,2037,2111
185 godfish,1273839,1379,2002,2111
Lychee,2301379,3924,1996,2111
quanggialai,6429404,2645,1825,2111
ddx,799765,1820,1764,2111
BuLLeT+AF8-,11352622,483,2080,2110
blytz,21516070,609,2069,2110
hellboy,2762038,511,2051,2110
DGHIR +AHw- ZARC,2814500,3324,2009,2110
+//3//f/9//3//f/9//3//f/9//3//f/9-,21503260,255,1612,2110
danger+AF8-noodle42,875303,4655,2074,2109
XEVER +AHw- PatrickJane,2624148,2865,2035,2107
XEVER +AHw- Landy,2979038,2516,1917,2107
teaa,267698,2393,1986,2106
AOKI+AF8-Zephyse,323548,1360,1971,2106
LE +AHw- Julio1233,4210400,117,2104,2104
Piggy Li,20244423,430,2075,2104
Virtus +AHw- el castigador,4576272,2981,1969,2101
thunder bun,9992305,1156,2031,2100
KARA+AF8AXwBf-,11338958,2811,2013,2100
A. Dumbo,15475206,496,2010,2100
SuperMamaReddy,664715,685,1958,2100
Dexter,1195043,1581,2099,2099
G+//3//Q-rard William Franz Emilio,213142,4686,2074,2099
DS+AF8-Alec,18148390,1037,2007,2099
Tomppa,1878835,897,2069,2098
Player+AF8-3,12191318,320,2093,2097
RuFF Holland,267402,229,2016,2097
ChossMx,9031952,1698,2001,2097
Grima,22760808,102,1995,2097
Senbonzakura,22404687,106,2095,2095
Yuki,11617436,1580,1898,2095
RudelyGreat,8795483,1222,1896,2094
FeAge,300649,1268,2009,2093
NuclearPasta,559085,764,1986,2093
DS+AF8-Prodan,543349,5401,1946,2093
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,2344276,1694,2005,2092
King+AC0-no23,8588069,488,2011,2091
YouAreNotA'Person',548824,1650,2001,2090
ArenaShan,15913055,257,1993,2090
Tonska,10409950,1887,1878,2090
HeisenN,2407064,2266,2035,2089
+AFs-LW+AF0- Kiddo,3373281,980,1988,2088
bsp,223803,4835,1948,2087
Lord+AF8-Baldemort,1249720,2904,1516,2087
Wiily Wonka,4599026,1972,1953,2086
+AFs-cM+AF0- Flash+AF8-br,4510920,887,2003,2085
Reaper,284232,4279,1861,2083
Jack,17297539,1120,2045,2082
Angry man,4183846,914,1995,2082
javis1912,4180664,2663,1824,2082
MELHOR EU IR,10489189,101,2052,2081
DGHIR +AHw- Anakin,4799871,1841,2017,2081
yomi,14119237,1328,1987,2081
Hozmi,17092381,1219,1963,2080
FrCo Benpat,1077025,3503,1919,2080
DS+AF8-ViejoChoto,18598248,632,1908,2080
raggamuffin,233846,7132,1902,2080
+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,11940697,686,1859,2080
Feal,22377833,419,2078,2078
AlperenAoE,874604,3471,1934,2078
Jupe,208080,1960,1972,2077
hailanxing.1,3468047,4131,1932,2075
MLT +AHw- Anna Flank,17432728,695,1967,2074
Ger,1618328,6040,1955,2074
+AF///f/9//3//f/9//3//f/9//3//f/9//0AXw-,1906206,4269,1715,2074
DarK +AHw- Spring,235623,4855,1713,2074
ceepki,770700,4988,2035,2073
RxS +AHw- Lilybear SIMP,310739,2573,2028,2073
Pato Lucas,2016787,4680,1912,2073
WuerzigerScheibenkaese,282660,517,2040,2072
S2. Gorlami,1771624,1136,1888,2072
Allen,409367,2562,1861,2072
Zephyse,5424111,505,2059,2071
Osias,329689,4091,1994,2071
Bumbam,20821163,100,1992,2071
7.6561198819678E+-016,18331280,198,1785,2070
pan,19644196,328,2038,2068
Virtus +AHw- FabiaN,211236,2939,2026,2068
ArmAturA,1663468,4874,1912,2068
OIDA +AHw- QuEnDi+AF8-kelar,2048591,1269,1900,2068
Ds3.sszafranko,2505639,1850,1869,2068
F4RIMBA,11597958,471,1985,2067
Chainsmokers,22654796,99,1975,2067
+AFs-bK+AF0-LukeCage+AF8-,558225,3345,1900,2067
ZMH,11486308,501,1803,2067
DasLetzte,581759,3465,1984,2066
Hansdampf,2267018,2727,1964,2066
chanchanvn,350548,8589,1942,2066
Ning+AF8-,5623928,4271,1848,2066
Hornet,220104,9280,1999,2065
Hui,18490940,428,1971,2065
DS+AF8-Charmander,14745023,304,1797,2065
NuMa +AHw- OliverAtom,1743420,6914,2056,2064
Iris,20663822,686,1968,2063
Shan,2074775,2793,1944,2063
Kensh1N,36778,3095,1922,2061
DWJS+AF8-twotwo,452917,569,2030,2060
LuckAss,2704156,860,1956,2060
Puttsson,2824103,3255,1883,2060
wakuku,8640528,1626,2059,2059
Kr1lle,1627747,2382,1908,2059
c28814,14957380,498,1907,2059
DYS.+//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9-,1724036,2526,1822,2059
plumeria,11541957,812,2058,2058
+AF8-LY+AF///f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//3//f/9//0-,23293463,208,2050,2058
ekimku,1947619,2548,1967,2057
two9 kit bota,10457681,1642,1895,2056
missing1boar,792601,694,2015,2055
+AFs-o.p.+AF0-Rangerontour,220422,6484,1813,2055
Orangeyness,1842671,5213,1950,2054
Amine,6072155,3471,1932,2054
XEVER +AHw- CaboBV,1923202,3155,1919,2054
+AFs-CL+AF0-Jupy,231890,1032,1826,2054
Virtus +AHw- Nasho9,316458,5272,1778,2054
+//3//f/9//3//f/9//3//f/9-,2760394,425,2026,2053
+AF8-FJ+AF///f/9//3//f/9//3//f/9//0-,18385002,184,2012,2053
BuloBulo,7496811,747,1986,2053
S+//3//Q-c Min,3580150,581,1982,2053
RoR +AHw- Bourbon,1877180,1389,1969,2053
LOSKAUSAS+AHw- OMNI,15647575,3708,1917,2053
LePos+//3//Q-idon,1444675,1586,1869,2053
Goatmeister,2227707,2093,2016,2052
+//3//f/9//3//f/9//3//f/9-,1605663,1767,2051,2051
Ramakrishna Paramahamsa,14783432,681,1999,2051
GimilMarduk,2483665,4940,1993,2051
I0NST0RM,1618763,319,1988,2051
LeeChia,621969,1097,1897,2051
TocToc.BlackKnight,737207,2348,1803,2051
yomi,16279264,951,1966,2050
Kas Boster,705897,2997,1930,2050
